0	|#Word	|CW 0:1	|CT 0:1
0	|#目次	|CW 1:1	
0	|#追加	|CW 2:1	
0	|#する	|CW 3:1	
1	|#Word	|CW 0:1	|CT 0:1
1	|#目次	|CW 1:1	
1	|#追加	|CW 2:1	
1	|#し	|CW 4:1	
2	|#Word	|CW 0:1	|CT 0:1
2	|#目次	|CW 1:1	
2	|#編集	|CW 5:1	
2	|#し	|CW 4:1	
3	|#Word	|CW 0:1	|CT 0:1
3	|#目次	|CW 1:1	
3	|#編集	|CW 5:1	
3	|#する	|CW 3:1	
4	|#Excel	|CW 6:1	|CT 1:1
4	|#罫線	|CW 7:1	
4	|#色	|CW 8:1	
4	|#変更	|CW 9:1	
4	|#し	|CW 4:1	
5	|#Excel	|CW 6:1	|CT 1:1
5	|#罫線	|CW 7:1	
5	|#色	|CW 8:1	
5	|#変更	|CW 9:1	
5	|#する	|CW 3:1	
6	|#Excel	|CW 6:1	|CT 1:1
6	|#罫線	|CW 7:1	
6	|#色	|CW 8:1	
6	|#変え	|CW 10:1	
7	|#Excel	|CW 6:1	|CT 1:1
7	|#罫線	|CW 7:1	
7	|#色	|CW 8:1	
7	|#変える	|CW 11:1	
8	|#Excel	|CW 6:1	|CT 1:1
8	|#罫線	|CW 7:1	
8	|#黒	|CW 12:1	
8	|#以外	|CW 13:1	
8	|#し	|CW 4:1	
9	|#Excel	|CW 6:1	|CT 1:1
9	|#罫線	|CW 7:1	
9	|#黒	|CW 12:1	
9	|#以外	|CW 13:1	
9	|#する	|CW 3:1	
10	|#Excel	|CW 6:1	|CT 1:1
10	|#罫線	|CW 7:1	
10	|#配色	|CW 14:1	
10	|#変え	|CW 10:1	
11	|#Excel	|CW 6:1	|CT 1:1
11	|#罫線	|CW 7:1	
11	|#配色	|CW 14:1	
11	|#変える	|CW 11:1	
12	|#Office	|CW 15:1	|CT 2:1
12	|#for	|CW 16:1	
12	|#Mac	|CW 17:1	
12	|#使う	|CW 18:1	
12	|#ため	|CW 19:1	
13	|#Office	|CW 15:1	|CT 2:1
13	|#for	|CW 16:1	
13	|#Mac	|CW 17:1	
13	|#使い	|CW 20:1	
14	|#Mac	|CW 17:1	|CT 2:1
14	|#Office	|CW 15:1	
14	|#使い	|CW 20:1	
15	|#Mac	|CW 17:1	|CT 2:1
15	|#Office	|CW 15:1	
15	|#使う	|CW 18:1	
16	|#Office	|CW 15:1	|CT 3:1
16	|#365	|CW 21:1	
16	|#ログイン	|CW 22:1	
16	|#する	|CW 3:1	
16	|#どう	|CW 23:1	
16	|#し	|CW 4:1	
16	|#いい	|CW 24:1	
17	|#Office	|CW 15:1	|CT 3:1
17	|#365	|CW 21:1	
17	|#ログイン	|CW 22:1	
17	|#し	|CW 4:1	
18	|#Office	|CW 15:1	|CT 3:1
18	|#365	|CW 21:1	
18	|#使い	|CW 20:1	
19	|#Office	|CW 15:1	|CT 3:1
19	|#365	|CW 21:1	
19	|#ログイン	|CW 22:1	
19	|#する	|CW 3:1	
19	|#ため	|CW 19:1	
20	|#2	|CW 25:1	|CT 4:1
20	|#台	|CW 26:1	
20	|#目	|CW 27:1	
20	|#PC	|CW 28:1	
20	|#インストール	|CW 29:1	
20	|#する	|CW 3:1	
21	|#2	|CW 25:1	|CT 4:1
21	|#台	|CW 26:1	
21	|#目	|CW 27:1	
21	|#PC	|CW 28:1	
21	|#インストール	|CW 29:1	
21	|#し	|CW 4:1	
22	|#2	|CW 25:1	|CT 4:1
22	|#台	|CW 26:1	
22	|#目	|CW 27:1	
22	|#PC	|CW 28:1	
22	|#インストール	|CW 29:1	
